Character_First	Character_Last	Actor_First	Actor_Last
Harry	Potter	Daniel	Radcliffe
Ron	Weasley	Rupert	Grint
Hermione	Granger	Emma	Watson
Albus	Dumbledore	Richard	Harris
Albus	Dumbledore	Michael	Gambon
Filius	Flitwick	Warwick	Davis
Rubeus	Hagrid	Robbie	Coltrane
Gilderoy	Lockhart	Kenneth	Branagh
Minerva	McGonagall	Maggie	Smith
Horace	Slughorn	Jim	Broadbent
Severus	Snape	Alan	Rickman
Sybill	Trelawney	Emma	Thompson
Cho	Chang	Katie	Leung
Cedric	Diggory	Joe	Livermore
Cedric	Diggory	Robert	Pattinson
Luna	Lovegood	Evanna	Lynch
Neville	Longbottom	Matthew	Lewis
Draco	Malfoy	Tom	Felton
Sirius	Black	Gary	Oldham
