First	Last	Killed_by	Cause_of_Death
James	Potter	Lord Voldemort	Killing Curse
Lily	Potter	Lord Voldemort	Killing Curse
Quirinus	Quirrell	Lord Voldemort	Sacrifice
Myrtle	Warren	Basilisk	Basilisk
Cedric	Diggory	Peter Pettigrew	Killing Curse
Sirius	Black	Bellatrix Lestrange	Veil
Marvolo	Gaunt	NA	Failure to Care
Igor	Karkaroff	Death Eaters	Murder
Albus	Dumbledore	Severus Snape	Killing Curse
Helena	Ravenclaw	Bloody Baron	Stabbing
Alastor	Moody	Lord Voldemort	Killing Curse
Rufus	Scrimgeour	Lord Voldemort	Killing Curse
Bathilda	Bagshot	Nagini	Mauling
Gellert	Grindelwald	Lord Voldemort	Killing Curse
Peter	Pettrigrew	Lord Voldemort	Strangulation
Dobby	NA	Bellatrix Lestrange	Stabbing
Vincent	Crabbe	Vincent Crabbe	Fiendfyre
Fred	Weasley	NA	Explosion
Remus	Lupin	Antonin Dolohov	Killing Curse
Nymphadora	Tonks	Bellatrix Lestrange	Killing Curse
Lavender	Brown	Fenrir Greyback	Killing Curse
Colin	Creevey	NA	Killing Curse
Severus	Snape	Nagini	Exsanguination
Bellatrix	Lestrange	Molly Weasley	Killing Curse
Tom	Riddle	Harry Potter	Killing Curse
