First	Last	House
Malcolm	Baddock	Slytherin
Regulus	Black	Slytherin
Miles	Bletchley	Slytherin
Millicent	Bullstrode	Slytherin
Vincent	Crabbe	Slytherin
Marcus	Flint	Slytherin
Gregory	Goyle	Slytherin
Terence	Higgs	Slytherin
Bellatrix	Lestrange	Slytherin
Rabastan	Lestrange	Slytherin
Rodolphus	Lestrange	Slytherin
Abraxas	Malfoy	Slytherin
Draco	Malfoy	Slytherin
Lucius	Malfoy	Slytherin
Narcissa	Malfoy	Slytherin
Theodore	Nott	Slytherin
Pansy	Parkinson	Slytherin
Graham	Pritchard	Slytherin
Adrian	Pucey	Slytherin
Tom Marvolo	Riddle	Slytherin
Horace	Slughorn	Slytherin
Severus	Snape	Slytherin
Blaise	Zabini	Slytherin
Stewart	Ackerley	Ravenclaw
Marcus	Belby	Ravenclaw
Terry	Boot	Ravenclaw
Mandy	Brocklehurst	Ravenclaw
Cho	Chang	Ravenclaw
Eddie	Carmichael	Ravenclaw
Penelope	Clearwater	Ravenclaw
Michael	Corner	Ravenclaw
Roger	Davies	Ravenclaw
Marietta	Edgecombe	Ravenclaw
Filius	Flitwick	Ravenclaw
Anthony	Goldstein	Ravenclaw
Luna	Lovegood	Ravenclaw
Padma	Patil	Ravenclaw
Orla	Quirke	Ravenclaw
Lisa	Turpin	Ravenclaw
Hannah	Abbott	Hufflepuff
Susan	Bones	Hufflepuff
Eleanor	Branstone	Hufflepuff
Owen	Cauldwell	Hufflepuff
Cedric	Diggory	Hufflepuff
Justin	Finch-Fletchley	Hufflepuff
Ernie	Macmillan	Hufflepuff
Laura	Madley	Hufflepuff
Eloise	Midgeon	Hufflepuff
Zacharias	Smith	Hufflepuff
Pomona	Sprout	Hufflepuff
Nymphadora	Tonks	Hufflepuff
Kevin	Whitby	Hufflepuff
Rose	Zeller	Hufflepuff
Euan	Abercrombie	Gryffindor
Katie	Bell	Gryffindor
Lavender	Brown	Gryffindor
Ritchie	Coote	Gryffindor
Colin	Creevey	Gryffindor
Dennis	Creevey	Gryffindor
Seamus	Finnigan	Gryffindor
Hermione	Granger	Gryffindor
Angelina	Johnson	Gryffindor
Lee	Jordan	Gryffindor
Andrew	Kirke	Gryffindor
Neville	Longbottom	Gryffindor
Natalie	McDonald	Gryffindor
Mary	Macdonald	Gryffindor
Cormac	McLaggen	Gryffindor
Parvati	Patil	Gryffindor
Jimmy	Peakes	Gryffindor
Harry	Potter	Gryffindor
Demelza	Robins	Gryffindor
Jack	Sloper	Gryffindor
Alicia	Spinnet	Gryffindor
Dean	Thomas	Gryffindor
Romilda	Vane	Gryffindor
Fred	Weasley	Gryffindor
George	Weasley	Gryffindor
Ginny	Weasley	Gryffindor
Percy	Weasley	Gryffindor
Ron	Weasley	Gryffindor
Oliver	Wood	Gryffindor
Sirius	Black	Gryffindor
Albus	Dumbledore	Gryffindor
Rubeus	Hagrid	Gryffindor
Remus	Lupin	Gryffindor
Minerva	McGonagall	Gryffindor
Peter	Pettigrew	Gryffindor
James	Potter	Gryffindor
Lily	Potter	Gryffindor
Bill	Weasley	Gryffindor
Charlie	Weasley	Gryffindor
Arthur	Weasley	Gryffindor
Molly	Weasley	Gryffindor
