People	Time1	Time2	Time3	Time4	Time5	Time6	Time7	Time8	Time9	Time10	Time11	Time12
P0149	7	6	8	10	NA	0	10	1	9	NA	NA	NA
P0503	5	0	0	6	NA	6	9	4	0	NA	NA	NA
P0634	5	0	6	5	NA	3	2	5	10	5	9	1
P0956	1	1	9	1	NA	4	NA	4	5	6	0	NA
P0812	3	6	4	2	NA	10	10	7	8	6	10	NA
P0321	4	7	5	9	NA	2	0	7	10	6	3	1
P0492	10	1	NA	7	NA	10	3	10	10	9	7	0
P0527	7	2	9	0	NA	6	10	8	2	10	10	NA
P0289	8	4	2	0	NA	NA	2	7	9	10	NA	NA
P0030	4	2	1	0	10	10	10	8	9	NA	NA	NA
P0065	6	10	NA	2	10	2	10	10	8	NA	NA	NA
P0533	7	10	10	4	10	3	9	1	0	NA	NA	NA
P0162	0	1	6	0	10	2	5	4	3	0	5	0
P0906	0	7	5	6	10	5	5	6	8	0	2	10
P0257	5	2	4	9	10	1	5	10	7	0	NA	NA
P0504	9	10	1	4	10	3	4	4	10	0	NA	NA
P0882	8	8	7	6	10	1	4	5	10	0	NA	NA
P0648	6	8	6	6	NA	NA	4	NA	1	0	NA	NA
P0978	6	5	6	7	10	0	4	8	4	0	NA	NA
P0394	6	6	6	8	10	7	0	4	2	0	NA	NA
P0138	7	1	5	7	10	7	10	0	4	1	NA	NA
P0719	4	3	7	9	10	2	10	NA	3	1	NA	NA
P0555	6	10	9	5	10	5	9	5	6	1	NA	NA
P0531	4	6	4	7	NA	6	8	9	2	1	NA	NA
P0747	6	0	1	7	10	8	6	10	1	1	NA	NA
P0521	9	5	6	5	10	8	5	9	9	1	NA	NA
P0034	5	8	2	9	10	0	3	10	2	1	NA	NA
P0075	4	10	0	2	10	NA	2	10	3	1	NA	NA
P0613	0	6	6	3	10	7	NA	2	8	1	NA	NA
P0535	1	7	2	2	10	1	0	2	7	1	NA	NA
P0680	0	9	10	2	10	0	0	6	2	1	NA	NA
P0172	1	5	3	5	10	7	9	3	5	2	0	10
P0085	3	7	5	1	10	8	8	5	7	2	2	8
P0704	4	8	3	8	10	5	8	1	9	2	3	0
P0320	10	2	6	1	10	10	7	3	4	2	6	8
P0738	7	0	3	4	10	6	6	10	0	2	0	9
P0822	3	0	4	1	10	5	5	6	6	2	9	1
P0795	9	6	4	6	10	10	3	3	10	2	4	1
P0376	7	7	5	10	10	2	2	3	4	2	10	0
P0570	8	5	9	2	10	9	1	2	3	2	6	3
P0692	7	1	10	9	10	2	9	4	8	3	6	9
P0911	2	2	8	1	10	9	8	7	0	3	10	5
P0972	4	0	5	0	10	10	5	7	5	3	1	9
P0310	1	3	6	1	10	4	5	6	7	3	10	4
P0596	2	3	7	9	10	2	3	10	3	3	9	3
P0091	0	4	6	5	10	3	1	10	9	3	3	4
P0274	2	0	3	7	10	NA	1	3	7	3	10	3
P0491	1	8	5	8	10	4	1	3	8	3	6	10
P0705	3	0	4	9	10	7	10	9	1	4	5	8
P0475	8	0	0	0	10	4	9	9	0	4	10	9
P0177	5	5	3	8	10	6	9	5	3	4	4	1
P0263	8	3	10	5	10	9	8	1	6	4	6	0
P0641	6	1	8	9	10	9	8	7	2	4	9	0
P0702	10	3	9	10	10	2	7	9	4	4	0	5
P0683	6	3	2	2	10	4	5	10	0	4	9	7
P0721	0	10	9	5	10	9	5	1	1	4	8	3
P0924	3	3	10	10	10	10	5	1	3	4	2	2
P0902	7	0	0	8	10	4	4	7	4	4	9	0
P0055	1	8	10	10	10	9	3	4	2	4	10	8
P0633	6	3	4	2	10	4	1	7	3	4	10	5
P0742	5	8	5	5	10	6	10	0	9	5	8	5
P0873	2	4	6	10	10	0	6	9	9	5	2	2
P0139	9	6	4	3	10	4	4	3	1	5	2	7
P0476	5	1	5	5	10	6	4	3	5	5	2	8
P0226	3	10	2	8	10	5	4	6	3	5	3	10
P0081	10	9	7	0	10	9	3	10	5	5	10	6
P0057	4	5	2	10	10	9	3	7	10	5	6	6
P0330	7	3	5	10	10	6	3	9	6	5	6	10
P0813	4	3	4	3	10	7	2	10	5	5	7	4
P0506	0	7	1	9	10	3	2	3	1	5	1	5
P0453	6	3	8	3	10	0	10	2	9	6	4	2
P0844	3	8	2	4	10	8	10	9	9	6	2	2
P0448	7	6	5	0	10	0	8	1	10	6	2	2
P0189	0	6	0	10	10	0	7	4	3	6	10	3
P0768	4	8	8	3	10	6	6	3	10	6	10	8
P0194	10	6	2	1	10	6	5	7	0	6	3	9
P0102	1	4	5	8	10	7	4	6	0	6	9	10
P0402	1	10	0	9	10	7	1	6	9	6	9	1
P0669	1	9	6	6	10	2	0	2	3	6	10	3
P0011	10	3	3	3	10	7	7	5	7	7	3	5
P0101	8	3	0	9	10	0	7	10	0	7	2	7
P0840	2	3	6	6	10	7	6	6	7	7	6	5
P0173	0	10	0	9	10	6	4	1	10	7	10	4
P0851	1	1	6	3	10	6	3	2	3	7	9	4
P0728	2	7	7	5	10	9	1	1	4	7	4	8
P0454	7	8	8	2	10	10	10	3	9	8	0	NA
P0345	8	0	5	9	10	9	10	10	3	8	6	6
P0234	8	5	0	10	10	9	10	1	4	8	2	5
P0783	0	7	7	0	10	7	9	2	5	8	8	6
P0449	6	2	4	4	10	8	7	7	7	8	6	6
P0092	9	9	7	1	10	4	6	3	5	8	3	6
P0431	2	1	4	5	10	4	6	7	7	8	10	5
P0076	8	7	9	10	10	3	5	5	6	8	6	5
P0518	8	7	6	10	10	3	5	0	1	8	0	3
P0900	6	4	4	3	10	4	4	0	6	8	8	3
P0144	8	2	7	4	10	0	1	5	0	8	1	3
P0760	5	8	8	1	10	0	10	2	0	9	5	NA
P0668	5	4	5	3	10	3	8	6	0	9	7	4
P0909	7	6	8	5	10	7	0	7	9	9	7	3
P0480	10	9	2	2	10	5	10	7	6	10	7	6
P0066	4	0	8	4	10	NA	5	7	2	10	3	10
P0141	5	2	6	8	10	10	3	4	6	10	5	10
P0434	1	9	5	3	10	5	1	9	7	10	8	2
P0542	10	0	3	5	10	6	1	9	4	10	4	9
P0001	0	5	3	2	10	9	0	3	6	NA	NA	NA
P0005	8	5	2	3	10	8	0	3	8	NA	NA	NA
P0891	1	3	2	4	10	2	0	3	1	NA	NA	NA
